family_id,family_name,family_bucket_id,family_bucket_name,site_motion_template,environment_rule,n_events,Ea_mean_eV,Ea_std_eV,Ea_min_eV,Ea_max_eV,Ea_median_eV,source_filter,representative_row_indices,nu0_Hz,nu0_source
subsurface_migration_interlayer,Subsurface migration (interlayer),nv1=1,nv1=1,Subsurface vacancy migration with <111> displacement,_bucket_by_n_vac_nn1,3458,1.047966756249316,0.04407467746388139,0.9573732181161176,1.1998915338408551,1.0379851353100094,accepted; audit_excluded=False,"[29, 48, 56, 87, 131]",,k0
subsurface_migration_interlayer,Subsurface migration (interlayer),nv1=2,nv1=2,Subsurface vacancy migration with <111> displacement,_bucket_by_n_vac_nn1,984,0.9774514081646197,0.10867377120023318,0.0786223096656613,1.1870409016119083,0.9331637768700602,accepted; audit_excluded=False,"[673, 721, 744, 1095, 1327]",3696032455649.877,trajectory_bucket
subsurface_migration_interlayer,Subsurface migration (interlayer),nv1=3,nv1=3,Subsurface vacancy migration with <111> displacement,_bucket_by_n_vac_nn1,1283,1.0490741737537141,0.048988810321791997,0.9579370477367776,1.1998878099111607,1.0367399942842894,accepted; audit_excluded=False,"[12, 100, 310, 331, 408]",,k0
subsurface_migration_interlayer,Subsurface migration (interlayer),nv1=4,nv1=4,Subsurface vacancy migration with <111> displacement,_bucket_by_n_vac_nn1,404,0.9892249518525025,0.0932619752843854,0.8462172283179825,1.1932191748710466,0.9425350968449493,accepted; audit_excluded=False,"[280, 1370, 1411, 1435, 1518]",,k0
subsurface_migration_interlayer,Subsurface migration (interlayer),nv1=5,nv1=5,Subsurface vacancy migration with <111> displacement,_bucket_by_n_vac_nn1,10,1.0702904881851283,0.007553608945264459,1.0617858820551191,1.084161039085302,1.0681714093370829,accepted; audit_excluded=False,"[450, 6211, 9148, 14829, 15310]",,k0
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=0_nv2=0,nv1=0_nv2=0,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,591,1.0166521423355637,0.15162808133488603,0.5749021220981376,1.1941318042881903,1.0363671754166717,accepted; audit_excluded=False,"[162, 182, 630, 711, 821]",15060286066525.762,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=0_nv2=1,nv1=0_nv2=1,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,346,0.7448863851314155,0.17170194526736915,0.4850278637532028,1.093606654467294,0.7377622405765578,accepted; audit_excluded=False,"[18, 24, 53, 95, 101]",15775084314190.02,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=0_nv2=2,nv1=0_nv2=2,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,60,0.7049854305524301,0.13375215724749664,0.4026231510651996,1.023607119481312,0.7178061896556756,accepted; audit_excluded=False,"[234, 1115, 1135, 2006, 5995]",14511147959582.523,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=0_nv2=3,nv1=0_nv2=3,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,1,0.542740547338326,0.0,0.542740547338326,0.542740547338326,0.542740547338326,accepted; audit_excluded=False,[26161],12902636082968.402,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=1_nv2=0,nv1=1_nv2=0,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,11118,0.6456442143346988,0.1296991977973384,0.0685609691790887,1.190168116656423,0.592618458562356,accepted; audit_excluded=False,"[0, 1, 7, 8, 10]",13093685318513.797,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=1_nv2=1,nv1=1_nv2=1,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,8675,0.8618007385763957,0.17440094551138413,0.0688054303318495,1.1911973948517698,0.8775958703263314,accepted; audit_excluded=False,"[14, 17, 67, 93, 109]",14820364436434.326,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=1_nv2=2,nv1=1_nv2=2,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,990,0.818640023966961,0.15606930042174372,0.1752618838145281,1.1003988003794802,0.8464206205935625,accepted; audit_excluded=False,"[268, 400, 452, 497, 549]",16864904526175.416,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=1_nv2=3,nv1=1_nv2=3,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,61,0.933075858839715,0.294452153437113,0.4044345546499244,1.1778411710256478,1.1434799146954902,accepted; audit_excluded=False,"[924, 6685, 8481, 9622, 10898]",26919979564307.266,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=2_nv2=0,nv1=2_nv2=0,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,4407,0.45925800616260876,0.1292657741749282,0.0581223284389125,1.1748912518960424,0.5283682378722006,accepted; audit_excluded=False,"[13, 27, 66, 89, 94]",8822980439081.127,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=2_nv2=1,nv1=2_nv2=1,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,6202,0.563118787421787,0.2268644302218888,0.1145639171736547,1.1695861237312783,0.6919741887613782,accepted; audit_excluded=False,"[206, 209, 217, 218, 219]",7997482238230.398,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=2_nv2=2,nv1=2_nv2=2,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,1550,0.661528800795021,0.3257688371511205,0.0771595117766992,1.1990898434451085,0.6103160641359864,accepted; audit_excluded=False,"[916, 972, 975, 1109, 1120]",8114753900019.233,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=2_nv2=3,nv1=2_nv2=3,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,97,0.6836148101450742,0.2948187575636077,0.2879206657016766,1.1122123567110975,0.5986608326566056,accepted; audit_excluded=False,"[2668, 2673, 2677, 3010, 3736]",6117887603892.791,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=3_nv2=0,nv1=3_nv2=0,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,1224,0.3059652577403897,0.1553586879391319,0.0613964660369674,0.6590969507669797,0.20988384555676015,accepted; audit_excluded=False,"[222, 314, 340, 353, 365]",6082756413806.779,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=3_nv2=1,nv1=3_nv2=1,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,2082,0.2565011047321898,0.19545166639829564,0.0863675334476283,0.9752571139106294,0.14364002924776284,accepted; audit_excluded=False,"[973, 996, 1087, 1092, 1137]",5202257428168.317,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=3_nv2=2,nv1=3_nv2=2,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,972,0.32509831652768534,0.27954402267816064,0.0435013923706719,1.1987753278008313,0.2706740013782109,accepted; audit_excluded=False,"[2315, 2345, 2662, 2694, 2720]",4525405543495.75,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=3_nv2=3,nv1=3_nv2=3,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,128,0.43446307582985355,0.2742954202859642,0.169215664078365,1.0079651212654426,0.321844443147711,accepted; audit_excluded=False,"[3309, 3326, 3329, 3384, 3626]",7154720731081.378,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=3_nv2=4,nv1=3_nv2=4,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,2,0.6991299350156623,0.26464883896856894,0.5119949463478406,0.8862649236834841,0.6991299350156623,accepted; audit_excluded=False,"[5390, 52160]",10323502898882.469,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=4_nv2=0,nv1=4_nv2=0,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,103,0.2106356839999049,0.019480024032324853,0.1667341918000602,0.2913255690655205,0.2053482339688344,accepted; audit_excluded=False,"[1018, 2047, 2109, 2145, 2170]",10596116968785.916,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=4_nv2=1,nv1=4_nv2=1,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,300,0.16656858735957938,0.06470586253137234,0.1086499087978154,0.4296218039671657,0.1455402595165651,accepted; audit_excluded=False,"[2206, 2714, 3079, 3144, 3150]",7309602965012.232,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=4_nv2=2,nv1=4_nv2=2,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,253,0.21939976132830183,0.15662726339451288,0.0605809902335749,0.7342691004741937,0.2708993549167644,accepted; audit_excluded=False,"[3279, 3491, 3508, 3592, 3651]",5633968303683.9795,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=4_nv2=3,nv1=4_nv2=3,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,39,0.3351117523513191,0.1948522321015649,0.2061451848276192,0.6473345771446475,0.2126691901357844,accepted; audit_excluded=False,"[4591, 4794, 48383, 48466, 51969]",4708675789500.539,trajectory_bucket
surface_1NN_inplane,Surface 1NN in-plane hop,nv1=4_nv2=4,nv1=4_nv2=4,"<110>_inplane, single-atom, vacancy at surface layer",_bucket_by_n_vac_1nn_and_2nn,2,0.552506243919197,1.680707452975478e-05,0.5524943595228251,0.5525181283155689,0.552506243919197,accepted; audit_excluded=False,"[56535, 65838]",8803779507608.395,trajectory_bucket
surface_interlayer_hop,Surface-to-subsurface interlayer hop,li=0_nv1=5,li=0_nv1=5,"<111>_interlayer, single-atom, mover starts at surface",_bucket_by_layer_initial,52,0.17573439216329673,0.04999991131800265,0.0223821095423772,0.2643586697013234,0.17834247977589254,accepted; audit_excluded=False,"[1391, 2807, 3404, 3810, 3862]",5660891370428.419,trajectory_bucket
surface_interlayer_hop,Surface-to-subsurface interlayer hop,li=0_nv1=6,li=0_nv1=6,"<111>_interlayer, single-atom, mover starts at surface",_bucket_by_layer_initial,349,0.017357017590131738,0.011185219307576827,4.9134352593682706e-05,0.1603802588651888,0.0194198670360492,accepted; audit_excluded=False,"[1421, 1499, 1546, 1679, 1727]",1812869225888.728,trajectory_bucket
surface_interlayer_hop,Surface-to-subsurface interlayer hop,li=0_nv1=7,li=0_nv1=7,"<111>_interlayer, single-atom, mover starts at surface",_bucket_by_layer_initial,12,0.005418888304726908,0.0020894908135365917,0.0015505730989389,0.0078172735084081,0.0065010135112969995,accepted; audit_excluded=False,"[1996, 20924, 22239, 26729, 38872]",1714960427976.5688,trajectory_bucket
surface_interlayer_hop,Surface-to-subsurface interlayer hop,li=0_nv1=8,li=0_nv1=8,"<111>_interlayer, single-atom, mover starts at surface",_bucket_by_layer_initial,11,0.0007173906805374272,0.00012292909202922704,0.0003800061385845,0.000867252878379,0.0007629640895174,accepted; audit_excluded=False,"[17596, 18365, 18617, 20269, 21412]",,k0
surface_subsurface_exchange_down,Exchange-down (surface→subsurface),nv1=1,nv1=1,"2-atom concerted exchange, -z component",_bucket_by_n_vac_nn1,888,1.0049968235334992,0.1496812975492773,0.0047026096581248,1.1983412836925709,1.0003793164723902,accepted; audit_excluded=False,"[175, 810, 813, 837, 851]",39944002653414.375,trajectory_bucket
surface_subsurface_exchange_down,Exchange-down (surface→subsurface),nv1=2,nv1=2,"2-atom concerted exchange, -z component",_bucket_by_n_vac_nn1,2635,0.918759472938867,0.260548753021062,0.0007044983576633,1.1996471289457986,0.977602483064402,accepted; audit_excluded=False,"[31, 169, 264, 273, 275]",44777194169064.59,trajectory_bucket
surface_subsurface_exchange_down,Exchange-down (surface→subsurface),nv1=3,nv1=3,"2-atom concerted exchange, -z component",_bucket_by_n_vac_nn1,613,0.8204543251940154,0.3822920482864681,0.000456001391285,1.1925477756813052,0.9959477437951136,accepted; audit_excluded=False,"[510, 1140, 1634, 2050, 2057]",1225595172750.3042,trajectory_bucket
surface_subsurface_exchange_down,Exchange-down (surface→subsurface),nv1=4,nv1=4,"2-atom concerted exchange, -z component",_bucket_by_n_vac_nn1,1029,0.48622460440692716,0.3142231335715596,0.0011910456669284,1.149971184619062,0.3424498801396112,accepted; audit_excluded=False,"[47, 475, 507, 755, 831]",21959910366540.805,trajectory_bucket
surface_subsurface_exchange_down,Exchange-down (surface→subsurface),nv1=5,nv1=5,"2-atom concerted exchange, -z component",_bucket_by_n_vac_nn1,10,0.0006705452309688001,0.0002392830772133428,0.0003631420477177,0.0009806053276406,0.00054589985302295,accepted; audit_excluded=False,"[1625, 1724, 2502, 20910, 21449]",,k0
surface_subsurface_exchange_lateral,Lateral exchange,nv1=4,nv1=4,"2-atom concerted exchange, large in-plane component",_bucket_by_n_vac_nn1,9390,1.0000320601206805,0.1457023523152426,0.7477450754449819,1.1576788317615865,1.0979476290158343,accepted; audit_excluded=False,"[5, 6, 11, 22, 30]",7330639833562.604,trajectory_bucket
surface_subsurface_exchange_up,Exchange-up (subsurface→surface),nv1=1,nv1=1,"2-atom concerted exchange, +z component",_bucket_by_n_vac_nn1,902,1.0180361952192947,0.09321167091589835,0.738776973070344,1.1874462905179826,1.025188580424583,accepted; audit_excluded=False,"[170, 249, 389, 465, 809]",38854713004512.516,trajectory_bucket
surface_subsurface_exchange_up,Exchange-up (subsurface→surface),nv1=2,nv1=2,"2-atom concerted exchange, +z component",_bucket_by_n_vac_nn1,2363,0.9606724660336511,0.11966715861503345,0.6362706894360599,1.199990170331148,0.975336191993847,accepted; audit_excluded=False,"[436, 545, 552, 811, 878]",35638321862905.68,trajectory_bucket
surface_subsurface_exchange_up,Exchange-up (subsurface→surface),nv1=3,nv1=3,"2-atom concerted exchange, +z component",_bucket_by_n_vac_nn1,382,1.0465946345401604,0.10654907374014469,0.7181186699963291,1.199362453087815,1.0879557958978694,accepted; audit_excluded=False,"[1139, 1790, 1802, 1816, 2025]",46923837125646.83,trajectory_bucket
bulk_1NN_inplane,Bulk 1NN in-plane hop,(empty),(no sampled events),"<110>_inplane, single-atom, vacancy at bulk-like layer",_bucket_by_n_vac_1nn_and_2nn,0,,,,,,accepted; audit_excluded=False,[],,k0
concerted_multisite,Concerted multi-atom motion,*,*,"n_moved >= 3, no clear single-mover mechanism",_bucket_by_n_moved,0,,,,,,excluded:fit_barrier=False,[],,k0
subsurface_migration_axial,Subsurface migration (axial),(empty),(no sampled events),Subsurface vacancy migration with pure-z displacement,_bucket_by_n_vac_nn1,0,,,,,,accepted; audit_excluded=False,[],,k0
surface_2NN_diagonal,Surface 2NN face-diagonal hop,(empty),(no sampled events),"<100>_inplane, single-atom, vacancy at surface",_bucket_by_n_vac_nn1,0,,,,,,accepted; audit_excluded=False,[],,k0
unresolved_multisite,Unresolved multi-site event,*,*,complex / inplane_complex / unresolved geometry,_bucket_all,964,,,,,,excluded:fit_barrier=False,[],,k0
