class_id,search_run,idx_ref,flux,Ea_rep_eV,Ea_cluster_eV,status,step,central_atom,frame,reg_max_dev,refine_ok,ladder_len,Ea_meas_eV,dE_meas_eV,mover_ok,dra_ok,dra_stored,dra_meas,relax_shift_max,class_id_ok,class_id_after,saddle_token_flicker,max_residual_before,max_residual_after,accepted,mover_global,dEa_eV,dEa_vs_cluster_eV,in_band
b4f4ceda979340fa97ea8c0a00fc53a1a082837a83bed5d639310dffec91b1eb,NiFe_Ni95_Fe05_T300_3vac,38,10151.630743671009,0.6110470521793134,0.6168883755685783,measured_in_band,319,2599,318,0.0009890592154043036,True,1,0.6230588514590636,0.03536565251124557,True,True,1.268032853920487,1.2680316327218562,0.0009691176406731693,True,b4f4ceda979340fa97ea8c0a00fc53a1a082837a83bed5d639310dffec91b1eb,False,0.07103730938248373,0.06944647515373813,True,2599,0.012011799279750157,0.00617047589048525,True
41ab56e07af137c7aa40ebb924cad7bc10764ce36b64a8e3c6fd060b60ccc3dd,NiFe_Ni95_Fe05_T300_3vac,39,10026.169282873136,0.5768371966653105,0.5816892877351165,measured_in_band,320,2599,319,0.00046179851845404464,True,1,0.587709899089532,-0.03536559726489941,True,True,1.264017761001864,1.2640269998408673,0.00046440885773133217,True,41ab56e07af137c7aa40ebb924cad7bc10764ce36b64a8e3c6fd060b60ccc3dd,False,0.0508043782331356,0.050830399839108094,True,2599,0.010872702424221448,0.0060206113544154505,True
1edeb41f3ffdba8dcba992e10bf0bbcbaf8e2712ab47629ba0482e2de7030aea,NiFe_Ni95_Fe05_T300_10vac,37,5442.766947056898,0.6247436409668486,0.6373722685652865,measured_in_band,3,7572,2,0.0007092286720199508,True,1,0.6439679478426115,-0.00014550070773111656,True,True,1.2682611594819364,1.2683032838694115,0.0007186698353606885,True,1edeb41f3ffdba8dcba992e10bf0bbcbaf8e2712ab47629ba0482e2de7030aea,False,0.07294122672958858,0.07141094339192691,True,7572,0.01922430687576282,0.006595679277324962,True
df0efe62afd9f7d5fd40b1f2ebc5dbc217c0af68ae8ab3fe8487cc175aef9a8b,NiFe_Ni95_Fe05_T300_10vac,36,4527.203751866908,0.6235344723100578,0.6378691868940223,measured_in_band,1,7572,0,0.0006553047159798179,True,1,0.6442047505406663,0.00015014126984169707,True,True,1.2751923813809816,1.2751943116053153,0.0006521480568516314,True,df0efe62afd9f7d5fd40b1f2ebc5dbc217c0af68ae8ab3fe8487cc175aef9a8b,False,0.08824095940564587,0.08755910989657101,True,7572,0.02067027823060852,0.006335563646644005,True
3d916077253024e1704c9d9ef5c2d8b75c2a5563163c239f8e9091b095b7012f,NiFe_Ni95_Fe05_T700_10vac,89,1417.53643726705,0.6403721911395727,0.6595774266284025,measured_in_band,4,2598,3,0.0004094879303059506,True,1,0.6669887859025039,0.37831840266881045,True,True,1.4698309343002027,1.4698232340516764,0.0004100463244392253,True,3d916077253024e1704c9d9ef5c2d8b75c2a5563163c239f8e9091b095b7012f,False,0.09028089847290374,0.09013838519384186,True,2598,0.02661659476293121,0.0074113592741014145,True
ef7eed87336db10b49137fc42cb05d83fa04385aa38455d9f22f07f54ba4ea20,NiFe_Ni95_Fe05_T500_8vac,666,1357.8744329493372,0.2688184843186788,0.2858536059720791,measured_in_band,1602,2598,1601,0.0023260886341025513,True,1,0.288571098826651,-0.37809131212270586,True,True,1.0539520400002877,1.053916248022472,0.0023259361713070118,True,ef7eed87336db10b49137fc42cb05d83fa04385aa38455d9f22f07f54ba4ea20,False,0.06746727542412241,0.06658825805001467,True,2598,0.01975261450797222,0.0027174928545719013,True
451e9c210266df20fb4e5b5a3c9911b84bfbd2de82a083da5213fd6d2266233e,NiFe_Ni95_Fe05_T700_6vac,314,822.5154264122457,0.5939048505625493,0.5860790973320036,measured_in_band,600,7575,599,0.0003756934649199925,True,1,0.5928747739599203,-0.032537914092245046,True,True,1.2677563349376757,1.2677476473951108,0.00037484569311527097,True,451e9c210266df20fb4e5b5a3c9911b84bfbd2de82a083da5213fd6d2266233e,False,0.06423193719517072,0.06439849905356793,True,7575,-0.0010300766026289931,0.006795676627916691,True
7e0119fd4108d80b07cc49f46d066763c808d6eb26a591f72841a34c088f7fde,NiFe_Ni95_Fe05_T700_6vac,315,767.3545526660816,0.6265044718371031,0.6181211038142465,measured_in_band,601,7575,600,0.000404326899612808,True,1,0.6253905474368366,0.03253777328063734,True,True,1.273592420595673,1.2735882970478425,0.0004018006726231918,True,7e0119fd4108d80b07cc49f46d066763c808d6eb26a591f72841a34c088f7fde,False,0.06638023053854926,0.0677093417969435,True,7575,-0.001113924400266475,0.007269443622590188,True
6cd32d5dd6e86bd39cf8abe93fb8f89ad25f804369c14a516b213cc6b82771df,NiFe_Ni95_Fe05_T700_1vac,157,644.8307788946368,0.6586567984888689,0.6399456444300995,measured_in_band,285,8259,284,0.0002656299565084151,True,1,0.657155691558728,-0.0032066113053588197,True,True,1.2721297136870937,1.272129267221987,0.00026666288632781624,True,6cd32d5dd6e86bd39cf8abe93fb8f89ad25f804369c14a516b213cc6b82771df,False,0.055171112616698395,0.05506135601013845,True,8259,-0.0015011069301409385,0.017210047128628503,True
5de71c74e6b3fd8db4e7721b1a2b3ada99769dd5fdf62c031fd169424ed6d07b,NiFe_Ni95_Fe05_T700_1vac,158,591.0618452641168,0.6618323825934591,0.6441425159950995,measured_in_band,286,8259,285,0.0005245064199534953,True,1,0.6603689376061084,0.0032030108777689748,True,True,1.2798429910019666,1.279869758303399,0.000508501084120372,True,5de71c74e6b3fd8db4e7721b1a2b3ada99769dd5fdf62c031fd169424ed6d07b,False,0.0710581851515953,0.07169100927473637,True,8259,-0.0014634449873507371,0.016226421611008846,True
