class_id,nu0_pair_policy,audit_status,archetype,action_id,one_way,move_shape,delta_atoms,Ea_rep_eV,Ea_std_eV,n_eff,flux_firings,n_selected,occupancy_s,n_instances,reachable,n_members,donor,donor_run,donor_idx,cum_flux_frac_pend
a41b776a47501a740980107d58515d06741ccd808849148ec56dd199288d94e6,pending_research,pending,4972478298379930765,6698383570156747695,False,3688026399,0,0.46679735358429747,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T700_9vac#1380,NiFe_Ni95_Fe05_T700_9vac,1380,0.999999999999982
a4186bd04186a9ee92d8116b124198587e051e3f0c28f513b9f36b62cabe9461,pending_research,pending,2636106273944158809,818860416223707415,True,3536598690,0,0.8691946480394109,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_9vac#1562,NiFe_Ni95_Fe05_T800_9vac,1562,0.999999999999982
a4159bece36f174978694c266563508815b58a2155c9300efd69f4dd8c1f57fd,pending_research,pending,5330918672303922021,16426931232365969814,True,4132747904,0,1.0788617046755464,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_6vac#1473,NiFe_Ni95_Fe05_T800_6vac,1473,0.999999999999982
a3fffefd2284ac657aa87fde99235863fdaa6ad9c724b5b5a9f60275ac404f20,pending_research,pending,2636106273944158809,818860416223707415,True,361243599,0,0.8332357273629895,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T700_9vac#757,NiFe_Ni95_Fe05_T700_9vac,757,0.999999999999982
a3fbebf1ea7f3abb94ca753d6c3bcca4c4d0a8ceec927111bcd7deae70568c50,pending_research,pending,4972478298379930765,6698383570156747695,False,4081219197,0,0.739075417653112,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_9vac#1214,NiFe_Ni95_Fe05_T800_9vac,1214,0.999999999999982
a43d07fe56dbd1dcb15478d199e9948cdb4a5ba1ad669446d839aa3103aedaa1,pending_research,pending,4972478298379930765,6698383570156747695,False,421079871,0,0.8134230249388567,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T600_6vac#615,NiFe_Ni95_Fe05_T600_6vac,615,0.999999999999982
8fbdb05e9c5a7c7a63b81daee2b3ceee06afc7df197f0917e91703780fea61e7,pending_research,pending,5330918672303922021,16426931232365969814,True,1231408413,0,1.0110348679404333,0.02,5.0,0.0,0.0,0.0,0.0,False,5,NiFe_Ni95_Fe05_T400_5vac#159,NiFe_Ni95_Fe05_T400_5vac,159,0.999999999999982
8fbb9b06137f8e729b55b048c57fc55936046a6a7a5c4af85d6f213085facb3f,pending_research,pending,2636106273944158809,818860416223707415,True,359474491,0,0.795564728271529,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T500_8vac#215,NiFe_Ni95_Fe05_T500_8vac,215,0.999999999999982
8fab4f00db690741ec9475cb5ce9f0198cc68490817ccd26302cf66b205e0f4a,pending_research,pending,5330918672303922021,16426931232365969814,True,494978433,0,0.5801596075943962,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T700_8vac#351,NiFe_Ni95_Fe05_T700_8vac,351,0.999999999999982
8f9babc073980222c3f048d38659340d68fc61f542cb07f16763fe8ae2d1de16,pending_research,pending,5330918672303922021,16426931232365969814,True,552649581,0,1.015170752351878,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_8vac#2425,NiFe_Ni95_Fe05_T800_8vac,2425,0.999999999999982
