class_id,leg_rank,selected,stratum,arch_name,fe_role,flux_firings,Ea_rep_eV,Ea_std_eV,n_members,tok_kinds,n_tok,n_disp_gt1A,mover_rank,mover_margin_A,dra_stored_A,pred_search_run,pred_search_idx,pred_Ea_member_eV,prev_status,pct_pending_flux
d14b0f70b35ab6d2b222372e1528758c09c3bc1f4ed07e4b5dd717443bdcafd8,1,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,34.307016376359364,0.6614343486980941,,1,OTHER,1,1,0,2.4857953080752715,1.2886121394491798,NiFe_Ni95_Fe05_T800_1vac,582,0.6614343486980943,,0.33037498051407077
4c9c92bd19628e139e783c786a55f21fcc38d72dcd4442396a1b26b8554bd316,2,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,34.01947947883375,0.6534927888596942,,1,OTHER,1,1,0,2.4855423929041525,1.2895160634316936,NiFe_Ni95_Fe05_T800_9vac,1146,0.653492788859694,,0.32760601349359386
84348123e348cb9a8205c6b402257550deff4345f12ab78bf2a1f2fc237a2ce9,3,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,33.66045470869737,0.659218627009068,,1,OTHER,1,1,0,2.487413543647955,1.2705028606994462,NiFe_Ni95_Fe05_T800_1vac,361,0.6592186270090679,,0.32414862156721197
6bd855e97581b9e65aaed95f4f52f93d2248d2731d2cb464d80e3147051435b2,4,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,33.53494823048307,0.6245661865350485,,1,OTHER,1,1,0,2.422625471883666,1.2474384731846542,NiFe_Ni95_Fe05_T600_6vac,721,0.6245661865350485,,0.3229399999884782
9d2065d8ef776e86c62e7db745a0efc05cca956dad10ece50b033a3e35d1861b,5,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,33.1718110848676,0.6679332186521474,,2,OTHER,1,1,0,2.4672087049297415,1.2811194526117249,NiFe_Ni95_Fe05_T800_6vac,1186,0.6660672743200848,,0.31944300607648896
956aa92c83b1f215429e50391400c20dad2476dc7ae1e1788b021116ce5f81e3,6,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,32.60344369332584,0.6610144571432103,,1,OTHER,1,1,0,2.4871801287854285,1.2857837473397353,NiFe_Ni95_Fe05_T500_9vac,873,0.6610144571432102,,0.31396965439106417
30c1fbfdb544db25b2ae70a0565aeb8138f49c9878fc7410551ac677d63abe50,7,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,32.420712934008705,0.6458920610048154,,1,HOLLOW_FCC,1,1,0,2.476807004064459,1.2765475733263385,NiFe_Ni95_Fe05_T800_2vac,318,0.6458920610048153,,0.3122099656327518
7f3a85a2e0ebd221caf9d0099b3aee87375324c0c86ae94ab213d08b3cbc9992,8,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,32.27384770273446,0.6862280410750828,,1,OTHER,1,1,0,2.4657292710782484,1.2600408058501285,NiFe_Ni95_Fe05_T800_7vac,1218,0.6862280410750827,,0.31079566025019856
4412d64d93fac3247c1c625c798d5ff96b7d4a839e5a69c1ea2b9757eacc9c6d,9,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,31.33787055171163,0.5907269971439745,,1,OTHER,1,1,0,2.4650542096221306,1.2704703177876537,NiFe_Ni95_Fe05_T700_6vac,619,0.5907269971439746,,0.3017822435881812
1e504c7198e3d9ac4f736fedd72585d2ede75f0e333971f53e09763b3319a1e0,10,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,30.72398209788782,0.6654699602750044,,1,OTHER,1,1,0,2.483668725225181,1.284374690114126,NiFe_Ni95_Fe05_T600_8vac,825,0.6654699602750043,,0.2958705261789805
