class_id,nu0_pair_policy,audit_status,archetype,action_id,one_way,move_shape,delta_atoms,Ea_rep_eV,Ea_std_eV,n_eff,flux_firings,n_selected,occupancy_s,n_instances,reachable,n_members,donor,donor_run,donor_idx,cum_flux_frac_pend,arch_name,fe_role,tok_kinds,n_tok,n_disp_gt1A,mover_rank,mover_margin_A,dra_stored_A,prev_status,stratum
a1eb1b8d1b0e93d2cf3fb9ebd257d1346a334abf32c954b77495b6d9b3cc411a,pending_research,approved,4972478298379930765,5581027151000475338,False,702021517,0,0.6368872336660562,,2.0,30.126277528410924,30.0,1.1589898699e-08,60.0,True,2,NiFe_Ni95_Fe05_T700_3vac#522,NiFe_Ni95_Fe05_T700_3vac,522,0.03739781003443719,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.4761664913663743,1.2590966620328663,,A1_fe_mover
8475909f39b1ed4d99f7a35ce2c8ef3fc11a7aee60b2589da8c7111e786cfaa9,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6638165165049941,,1.0,30.08147985097042,27.0,2.8395695270000004e-06,94.0,True,1,NiFe_Ni95_Fe05_T500_9vac#872,NiFe_Ni95_Fe05_T500_9vac,872,0.04029464262709805,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.4871801287854285,1.2687474392973908,,A1_fe_mover
fbcdf3c2dafba13b7cd95f8dba23be78134a2b33acea9ea1913554c36bf0ce4f,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6474752935700964,,1.0,30.01408417239367,41.0,6.6555999700000005e-09,42.0,True,1,NiFe_Ni95_Fe05_T800_1vac#615,NiFe_Ni95_Fe05_T800_1vac,615,0.04318498504709212,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.474665758160553,1.2767314769867082,,A1_fe_mover
71ab0234149cc761359875aefc5f28949caedb25bf99d5375244bb1cb51dc42a,pending_research,approved,4972478298379930765,5581027151000475338,False,702021517,0,0.5479495993443059,,2.0,29.684767845850477,25.0,8.0253821236e-08,97.0,True,2,NiFe_Ni95_Fe05_T700_3vac#497,NiFe_Ni95_Fe05_T700_3vac,497,0.04604361445719598,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.463190560398235,1.2648315856720014,,A1_fe_mover
c0e46583835ad426f1de2e09d231c84a79bcf389b4144cb591e55de6cf128642,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6527210571894101,,1.0,29.502349270989946,33.0,1.7547639832499996e-08,118.0,True,1,NiFe_Ni95_Fe05_T800_4vac#553,NiFe_Ni95_Fe05_T800_4vac,553,0.048884677042935455,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.4735977811745293,1.2651835903783792,,A1_fe_mover
33f29bc4b112e7e0912821acfaec5c75c64726e0358d71b0d1ad488876659a51,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6461421330423037,,1.0,29.41361876138665,31.0,2.504659375e-08,33.0,True,1,NiFe_Ni95_Fe05_T700_2vac#365,NiFe_Ni95_Fe05_T700_2vac,365,0.05171719492165068,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.470825558847471,1.2695572883972572,,A1_fe_mover
826095692e9f39d98343844a4c3b06be9a8b2eb72ee4d002f4147fa6a815ac82,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6611454687399599,,1.0,29.38593734074389,35.0,6.9987535552e-08,40.0,True,1,NiFe_Ni95_Fe05_T800_1vac#581,NiFe_Ni95_Fe05_T800_1vac,581,0.05454704709236464,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.4857953080752715,1.266672232226044,,A1_fe_mover
6935a824142d9604d2e07a800884c8453968fa15a44e90776e03c6ab6465348c,pending_research,pending,4972478298379930765,5581027151000475338,False,112054587,0,0.6360248799228431,,1.0,29.26205253083963,34.0,2.36921513425e-08,44.0,True,1,NiFe_Ni95_Fe05_T700_10vac#814,NiFe_Ni95_Fe05_T700_10vac,814,0.05736496921319925,V1NN_inplane,A1_fe_mover,HOLLOW_FCC,1,1,0,2.454059113914436,1.3395789945656298,,A1_fe_mover
b78566861958edd41db125fad883350cd3551ea7b18f94cc6cab81f56309f67f,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.660324519497408,,1.0,28.38133026501032,19.0,8.21468238e-09,20.0,True,1,NiFe_Ni95_Fe05_T800_2vac#664,NiFe_Ni95_Fe05_T800_2vac,664,0.06009807818729455,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.487557670860017,1.2906126514788485,,A1_fe_mover
47d6b0c5baef6d772d57a98e450ae5228aaf58b58d0f22b9111a57e9b255fd54,pending_research,pending,4972478298379930765,5581027151000475338,False,4081219197,0,0.6264968845389377,,1.0,28.25263286840925,24.0,5.412752711e-09,45.0,True,1,NiFe_Ni95_Fe05_T800_1vac#244,NiFe_Ni95_Fe05_T800_1vac,244,0.0628187936616381,V1NN_inplane,A1_fe_mover,HOLLOW_FCC,1,1,0,2.454758753153551,1.1461256503142168,,A1_fe_mover
